Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
246,Billy Gardner,6,1981,1987,330,417,.442,0,-87,747,0,0,,2,7,4.6,12,0,0,0,0,as player,
247,Phil Garner,15,1992,2007,985,1054,.483,1,-69,2040,13,13,.500,2,7,3.8,44,2,0,1,1,as player,
248,Cito Gaston,12,1989,2010,894,837,.516,0,57,1731,18,16,.529,1,5,2.9,27,4,2,2,2,as player,
249,Bill Gatewood,2,1922,1930,41,57,.418,2,-16,100,0,0,,5,5,5.0,,0,0,0,0,as player,
250,Bob Geren,5,2007,2011,334,376,.470,0,-42,710,0,0,,2,4,3.1,10,0,0,0,0,as player,
251,Joe Gerhardt,2,1883,1890,72,61,.541,3,11,136,0,0,,3,5,4.4,0,0,0,0,0,as player,plyr/mgr: 1883-1890
252,Doc Gessler,1,1914,1914,3,8,.273,0,-5,11,0,0,,7,7,7.0,0,0,0,0,0,as player,
253,John Gibbons,11,2004,2018,793,789,.501,0,4,1582,10,10,.500,1,5,3.2,53,2,0,0,0,as player,
254,George Gibson,7,1920,1934,413,344,.546,2,69,759,0,0,,2,8,2.9,7,0,0,0,0,as player,
255,Kirk Gibson,5,2010,2014,353,375,.485,0,-22,728,2,3,.400,1,5,3.0,10,1,0,0,0,as player,
256,Jim Gifford,3,1884,1886,74,136,.352,2,-62,212,0,0,,7,11,8.6,0,0,0,0,0,,
257,George Giles,1,1935,1935,27,26,.509,0,1,53,0,0,,5,5,5.0,,0,0,0,0,as player,
258,Joe Girardi,13,2006,2021,1098,906,.548,0,192,2004,28,24,.538,1,4,2.3,42,6,1,1,1,as player,
259,Carl Glass,3,1924,1929,68,92,.425,3,-24,163,0,0,,6,7,6.1,,0,0,0,0,as player,
260,Jack Glasscock,2,1889,1892,35,35,.500,1,0,71,0,0,,7,9,7.1,0,0,0,0,0,as player,plyr/mgr: 1889-1892
261,Kid Gleason,5,1919,1923,392,364,.519,3,28,759,3,5,.375,1,7,4.5,3,1,0,1,0,as player,
262,Preston Gomez,7,1969,1980,346,529,.395,0,-183,875,0,0,,4,6,5.6,7,0,0,0,0,as player,
263,Fredi Gonzalez,10,2007,2016,710,692,.506,0,18,1402,1,4,.200,1,5,2.8,26,2,0,0,0,,
264,Mike González,2,1938,1940,9,13,.409,1,-4,23,0,0,,3,6,5.2,0,0,0,0,0,as player,
265,Joe Gordon HOF,5,1958,1969,305,308,.498,2,-3,615,0,0,,2,9,4.2,12,0,0,0,0,as player,
266,George Gore,1,1892,1892,6,9,.400,1,-3,16,0,0,,11,11,11.0,0,0,0,0,0,as player,plyr/mgr: 1892
267,Johnny Goryl,2,1980,1981,34,38,.472,1,-4,73,0,0,,3,7,5.0,1,0,0,0,0,as player,
268,Charlie Gould,2,1875,1876,11,77,.125,0,-66,88,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1875-1876
269,Hank Gowdy,1,1946,1946,3,1,.750,0,2,4,0,0,,6,6,6.0,0,0,0,0,0,as player,
270,Mase Graffen,1,1876,1876,39,17,.696,0,22,56,0,0,,2,2,2.0,0,0,0,0,0,,
271,Alex Grammas,3,1969,1977,137,191,.418,0,-54,328,0,0,,3,6,6.0,3,0,0,0,0,as player,
272,Andy Green,4,2016,2019,274,366,.428,0,-92,640,0,0,,4,5,4.5,12,0,0,0,0,as player,
273,Dallas Green,8,1979,1996,454,478,.487,0,-24,932,9,7,.562,1,7,3.3,18,2,1,1,1,as player,
274,Joe Green,2,1920,1921,18,75,.194,3,-57,96,0,0,,8,8,8.0,,0,0,0,0,as player,
275,Mike Griffin,1,1898,1898,1,3,.250,0,-2,4,0,0,,10,10,10.0,0,0,0,0,0,as player,plyr/mgr: 1898
276,Sandy Griffin,1,1891,1891,2,4,.333,0,-2,6,0,0,,8,8,8.0,0,0,0,0,0,as player,plyr/mgr: 1891
277,Clark Griffith HOF,20,1901,1920,1491,1367,.522,59,124,2917,0,0,,1,8,4.2,73,0,0,1,0,as player,plyr/mgr: 1901-1914
