Rk,Mgr,Yrs,From,To,W,L,W-L%,Ties,G>.500,G,Wpost,Lpost,W-L%post,BestFin,WrstFin,AvRk,Ejections,Plyof App,WSwon,PennWon,ASG,,Player/Manager
1,Manny Acta,6,2007,2012,372,518,.418,0,-146,890,0,0,,2,5,4.1,8,0,0,0,0,,
2,Bill Adair,1,1970,1970,4,6,.400,0,-2,10,0,0,,6,6,6.0,0,0,0,0,0,,
3,Joe Adcock,1,1967,1967,75,87,.463,0,-12,162,0,0,,8,8,8.0,3,0,0,0,0,as player,
4,Bob Addy,2,1875,1877,8,23,.258,0,-15,31,0,0,,5,6,5.8,0,0,0,0,0,as player,plyr/mgr: 1875-1877
5,Bob Allen,2,1890,1900,87,87,.500,5,0,179,0,0,,3,7,6.2,0,0,0,0,0,as player,plyr/mgr: 1890-1900
6,Newt Allen,1,1941,1941,34,13,.723,0,21,47,0,0,,1,1,1.0,,1,0,1,0,as player,
7,Todd Allen,1,1925,1925,17,53,.243,0,-36,70,0,0,,8,8,8.0,,0,0,0,0,as player,
8,Doug Allison,1,1873,1873,2,21,.087,0,-19,23,0,0,,8,8,8.0,0,0,0,0,0,as player,
9,Sandy Alomar,1,2012,2012,3,3,.500,0,0,6,0,0,,4,4,4.0,0,0,0,0,0,as player,
10,Felipe Alou,14,1992,2006,1033,1021,.503,1,12,2055,1,3,.250,1,5,2.9,18,1,0,0,1,as player,
11,Walter Alston HOF,23,1954,1976,2040,1613,.558,5,427,3658,23,21,.523,1,8,2.9,37,7,4,7,9,as player,
12,Joe Altobelli,7,1977,1991,437,407,.518,0,30,844,7,2,.778,1,5,3.4,18,1,1,1,1,as player,
13,Joey Amalfitano,3,1979,1981,66,116,.363,3,-50,185,0,0,,5,6,5.7,1,0,0,0,0,as player,
14,Sparky Anderson HOF,26,1970,1995,2194,1834,.545,2,360,4030,34,21,.618,1,7,2.9,56,7,3,5,5,as player,
15,Cap Anson HOF,21,1875,1898,1295,947,.578,46,348,2288,5,7,.417,1,9,4.0,7,0,0,5,0,as player,plyr/mgr: 1875-1897
16,Luke Appling HOF,1,1967,1967,10,30,.250,0,-20,40,0,0,,10,10,10.0,0,0,0,0,0,as player,
17,Bill Armour,5,1902,1906,382,347,.524,7,35,736,0,0,,3,6,4.2,3,0,0,0,0,,
18,Ken Aspromonte,3,1972,1974,220,260,.458,0,-40,480,0,0,,4,6,5.0,6,0,0,0,0,as player,
19,Brad Ausmus,5,2014,2019,386,422,.478,0,-36,808,0,3,.000,1,5,3.4,17,1,0,0,0,as player,
20,Jimmy Austin,3,1913,1923,31,44,.413,0,-13,75,0,0,,5,8,5.3,1,0,0,0,0,as player,plyr/mgr: 1913-1923
21,Del Baker,9,1933,1960,419,360,.538,6,59,785,3,4,.429,1,7,3.6,2,1,0,1,1,as player,
22,Dusty Baker,24,1993,2021,1987,1734,.534,1,253,3722,40,44,.476,1,6,2.4,23,11,0,2,1,as player,
23,Rocco Baldelli,3,2019,2021,210,174,.547,0,36,384,0,5,.000,1,5,2.7,6,2,0,0,0,as player,
24,George Bamberger,7,1978,1986,458,478,.489,0,-20,936,0,0,,2,6,4.5,21,0,0,0,0,as player,
25,Dave Bancroft HOF,4,1924,1927,249,363,.407,3,-114,615,0,0,,5,8,6.8,7,0,0,0,0,as player,plyr/mgr: 1924-1927
26,Frank Bancroft,9,1880,1902,375,333,.530,10,42,718,3,0,1.000,1,7,4.2,0,0,1,1,0,,
27,Jeff Banister,4,2015,2018,325,313,.509,0,12,638,2,6,.250,1,5,2.5,16,2,0,0,0,as player,
28,Rod Barajas,1,2019,2019,1,7,.125,0,-6,8,0,0,,5,5,5.0,0,0,0,0,0,as player,
29,Marvin Barker,4,1945,1948,52,147,.261,5,-95,204,0,0,,6,6,6.0,,0,0,0,0,as player,
